property_id,adresse,by_og_zip,ejendomsværdi_2024,grundværdi_2024,ejendomsværdi_2022,grundværdi_2022
673,"Rebslagervej 19, 2 th",2400 København NV,4.209.000 kr.,2.571.000 kr.,,
674,"Rebslagervej 19, 2 tv",2400 København NV,4.300.000 kr.,2.629.000 kr.,,
675,"Rebslagervej 19, 3 th",2400 København NV,4.276.000 kr.,2.612.000 kr.,,
676,"Rebslagervej 19, 3 tv",2400 København NV,4.368.000 kr.,2.670.000 kr.,,
677,"Rebslagervej 19, 4 th",2400 København NV,4.365.000 kr.,2.662.000 kr.,,
678,"Rebslagervej 19, 4 tv",2400 København NV,4.460.000 kr.,2.723.000 kr.,,
679,"Rebslagervej 21, st tv",2400 København NV,3.717.000 kr.,2.252.000 kr.,,
680,"Rebslagervej 21, st th",2400 København NV,3.804.000 kr.,2.308.000 kr.,,
681,"Rebslagervej 21, 1 th",2400 København NV,3.797.000 kr.,2.307.000 kr.,,
682,"Rebslagervej 21, 1 tv",2400 København NV,3.886.000 kr.,2.364.000 kr.,,
683,"Rebslagervej 21, 2 th",2400 København NV,4.425.000 kr.,2.706.000 kr.,,
684,"Rebslagervej 21, 2 tv",2400 København NV,4.196.000 kr.,2.562.000 kr.,,
685,"Rebslagervej 21, 3 th",2400 København NV,4.447.000 kr.,2.721.000 kr.,,
686,"Rebslagervej 21, 3 tv",2400 København NV,4.262.000 kr.,2.604.000 kr.,,
687,"Rebslagervej 21, 4 th",2400 København NV,4.588.000 kr.,2.805.000 kr.,,
688,"Rebslagervej 21, 4 tv",2400 København NV,4.352.000 kr.,2.656.000 kr.,,
689,"Rentemestervej 5, st th",2400 København NV,4.790.000 kr.,2.836.000 kr.,,
690,"Rentemestervej 5, st tv",2400 København NV,5.893.000 kr.,3.433.000 kr.,,
691,"Rentemestervej 5, 1 th",2400 København NV,4.892.000 kr.,2.922.000 kr.,,
692,"Rentemestervej 5, 1 tv",2400 København NV,6.018.000 kr.,3.536.000 kr.,,
693,"Rentemestervej 5, 2 th",2400 København NV,3.814.000 kr.,2.286.000 kr.,,
694,Lautrupskaj 9,2100 København Ø,,60.018.000 kr.,,
695,"Rentemestervej 5, 2 mf",2400 København NV,2.624.000 kr.,1.533.000 kr.,,
696,"Rentemestervej 5, 2 tv",2400 København NV,4.322.000 kr.,2.598.000 kr.,,
697,"Rentemestervej 5, 3 th",2400 København NV,3.874.000 kr.,2.335.000 kr.,,
608,"Serridslevvej 10, st 2",2100 København Ø,3.596.000 kr.,2.272.000 kr.,,
609,,,,,,
22,"Jens Otto Krags Gade 16, 5 tv",2300 København S,5.210.000 kr.,3.108.000 kr.,5.288.000 kr.,3.130.000 kr.
27,"Jens Otto Krags Gade 18, st tv",2300 København S,4.000.000 kr.,2.362.000 kr.,,
32,"Jens Otto Krags Gade 18, 3 tv",2300 København S,5.165.000 kr.,3.064.000 kr.,5.243.000 kr.,3.085.000 kr.
37,"Jens Otto Krags Gade 18, 5 th",2300 København S,5.496.000 kr.,3.254.000 kr.,,
42,"Jens Otto Krags Gade 20, st tv",2300 København S,4.041.000 kr.,2.402.000 kr.,,
47,"Jens Otto Krags Gade 20, 3 tv",2300 København S,5.187.000 kr.,3.092.000 kr.,5.265.000 kr.,3.113.000 kr.
216,"Borgmester Jensens Allé 23A, 4 th",2100 København Ø,4.799.000 kr.,3.082.000 kr.,4.871.000 kr.,3.103.000 kr.
217,"Borgmester Jensens Allé 23B, st tv",2100 København Ø,6.221.000 kr.,3.899.000 kr.,6.314.000 kr.,3.926.000 kr.
218,"Borgmester Jensens Allé 23B, st th",2100 København Ø,4.225.000 kr.,2.732.000 kr.,,
219,"Borgmester Jensens Allé 23B, 1 tv",2100 København Ø,6.880.000 kr.,4.275.000 kr.,,
220,,,,,,
221,"Borgmester Jensens Allé 23B, 1 th",2100 København Ø,5.073.000 kr.,3.291.000 kr.,,
222,"Borgmester Jensens Allé 23B, 2 tv",2100 København Ø,6.950.000 kr.,4.312.000 kr.,,
223,"Borgmester Jensens Allé 23B, 2 th",2100 København Ø,5.125.000 kr.,3.320.000 kr.,,
224,"Borgmester Jensens Allé 23B, 3 tv",2100 København Ø,7.059.000 kr.,4.371.000 kr.,,
225,"Borgmester Jensens Allé 23B, 3 th",2100 København Ø,5.206.000 kr.,3.365.000 kr.,,
226,"Borgmester Jensens Allé 23B, 4 tv",2100 København Ø,6.898.000 kr.,4.273.000 kr.,,
227,"Borgmester Jensens Allé 23B, 4 th",2100 København Ø,5.207.000 kr.,3.355.000 kr.,,
228,,,,,,
229,"Borgmester Jensens Allé 23C, st tv",2100 København Ø,4.207.000 kr.,2.723.000 kr.,,
230,"Borgmester Jensens Allé 23C, st th",2100 København Ø,5.150.000 kr.,3.354.000 kr.,,
231,"Borgmester Jensens Allé 23C, 1 tv",2100 København Ø,5.052.000 kr.,3.279.000 kr.,,
232,"Borgmester Jensens Allé 23C, 1 th",2100 København Ø,5.630.000 kr.,3.652.000 kr.,,
233,"Borgmester Jensens Allé 23C, 2 tv",2100 København Ø,5.156.000 kr.,3.342.000 kr.,,
234,"Borgmester Jensens Allé 23C, 2 th",2100 København Ø,5.687.000 kr.,3.683.000 kr.,,
235,"Borgmester Jensens Allé 23C, 3 tv",2100 København Ø,5.184.000 kr.,3.353.000 kr.,,
236,"Borgmester Jensens Allé 23C, 3 th",2100 København Ø,5.776.000 kr.,3.733.000 kr.,,
237,"Borgmester Jensens Allé 23C, 4 tv",2100 København Ø,5.186.000 kr.,3.343.000 kr.,,
238,"Borgmester Jensens Allé 23C, 4 th",2100 København Ø,5.785.000 kr.,3.730.000 kr.,,
239,"Borgmester Jensens Allé 21, st tv",2100 København Ø,4.021.000 kr.,2.571.000 kr.,,
240,"Borgmester Jensens Allé 21, st th",2100 København Ø,4.217.000 kr.,2.705.000 kr.,,
241,"Borgmester Jensens Allé 21, 1 tv",2100 København Ø,4.106.000 kr.,2.619.000 kr.,,
